ANTIK - PRO,Tipo de cuenta,Handle,Seguidores
ANTIK - PRO,Con identidad,@cbuteler,"86,6 Mil"
ANTIK - PRO,Sin identidad,@mabelpajarita,"77,9 Mil"
ANTIK - PRO,Con identidad,@flandivar,"73,2 Mil"
ANTIK - PRO,Con identidad,@gonziver,72 Mil
ANTIK - PRO,Sin identidad,@labelgrana,"70,9 Mil"
ANTIK - PRO,Sin identidad,@GigliottiJavier,"6,6 Mil"
ANTIK - PRO,Con identidad,@lgalatilaura,"6,5 Mil"
ANTIK - PRO,Sin identidad,@dulce_tinita,6 Mil
ANTIK - PRO,Sin identidad,@ojo_kritico,"58,7 Mil"
ANTIK - PRO,Sin identidad,@eldiariodeleuco,"57,8 Mil"
ANTIK - PRO,Con identidad,@4ndyWS,"57,3 Mil"
ANTIK - PRO,Con identidad,@romeromarcelo63,"44,5 Mil"
ANTIK - PRO,Con identidad,@gabruzo,43 Mil
ANTIK - PRO,Sin identidad,@elsakekita,"42,7 Mil"
ANTIK - PRO,Con identidad,@arielviano,42 Mil
ANTIK - PRO,Con identidad,@bouzas_cris,4 Mil
ANTIK - PRO,Con identidad,@luisrodriguezrm,"34,9 Mil"
ANTIK - PRO,Con identidad,@valensanro,"3,6 Mil"
ANTIK - PRO,Sin identidad,@republica_naok,"22,4 Mil"
ANTIK - PRO,Sin identidad,@marcelo_mm2023,"21,9 Mil"
ANTIK - PRO,Con identidad,@jofa2010,"21,2 Mil"
ANTIK - PRO,Con identidad,@felipelahiteau,"20,1 Mil"
ANTIK - PRO,Con identidad,@albertcarp4,"17,3 Mil"
ANTIK - PRO,Con identidad,@pablolanusse,"163,2 Mil"
ANTIK - PRO,Sin identidad,@iguacel23,"14,6 Mil"
ANTIK - PRO,Con identidad,@carliferro,14 Mil
ANTIK - PRO,Sin identidad,@eljugenio,"13,9 Mil"
ANTIK - PRO,Sin identidad,@lamacrineta,"13,2 Mil"
ANTIK - PRO,Sin identidad,@mardina1965,"13,1 Mil"
ANTIK - PRO,Sin identidad,@ChauOperetaK,"126,6 Mil"
ANTIK - PRO,Sin identidad,@manuvitricida,"1,3 Mil"
ANTIK - PRO,Sin identidad,@LordMurielo,"54,3 Mil"
ANTIK - PRO,Sin identidad,@ChilbitaSoyYO,"75,1 mil"
ANTIK - PRO,Sin identidad,@SoyPROpuro,"3,6 mil"
ANTIK - PRO,Sin identidad,@vulgarcite,"30,5 mil"
ANTIK - PRO,Con identidad,@thekillerpro_,4 mil
ANTIK - PRO,Sin identidad,@WalhallaMann,68 mil
ANTIK - PRO,Sin identidad,@Jackes_is_back,19 mil
ANTIK - PRO,Sin identidad,@danilerer,"68,8 mil"
ANTIK - PRO,Sin identidad,@JProArg,"32,3 mil"
ANTIK - PRO,Sin identidad,@soniala41,"22,2 mil"
ANTIK - PRO,Sin identidad,"@Winston_Dunhill
","244,8 mil"
ANTIK - PRO,Sin identidad,@ComiteMacrista,638
ANTIK - PRO,Sin identidad,@JPROtwitera,2 mil
ANTIK - PRO,Sin identidad,@KingOfPeronia2,2 mil
ANTIK - PRO,sin identidad,@LaBugsBunnyIA,"35,7 mil"
ANTIK - PRO,sin identidad,@cositopolitico,7 mil
ANTIK - PRO,sin identidad,@DeloElmo,"51,7 mil"
ANTIK - PRO,Con identidad,@alebg__71,"170,1 mil"
ANTIK - PRO,sin identidad,@mavica71,"49,6 mil"
ANTIK - PRO,Con identidad,@atlanticsurff,"263,1 mil"
ANTIK - PRO,sin identidad,@theblackmacri,"34,8 mil"
ANTIK - PRO,Con identidad,@pissanoemi2,"28,5 mil"
ANTIK - PRO,Con identidad,@zenozain_carlos,"22,3 mil"
ANTIK - PRO,sin identidad,@reynatarantula,"15,7 mil"
ANTIK - PRO,Con identidad,@YaniLatorre,"1,6 millones"
ANTIK - PRO,Con identidad,@MontiCarlos,"208,2 mil"
ANTIK - PRO,Con identidad,@TotiPasman,"354,4 mil"
