ANTIK - PRO,Tipo de cuenta,Handle,Seguidores
ANTIK - PRO,Con identidad,@pablolanusse,164000
ANTIK - PRO,Sin identidad,@ChauOperetaK,126400
ANTIK - PRO,Con identidad,@cbuteler,88100
ANTIK - PRO,Sin identidad,@mabelpajarita,79200
ANTIK - PRO,Con identidad,@flandivar,73900
ANTIK - PRO,Con identidad,@gonziver,73700
ANTIK - PRO,Sin identidad,@ojo_kritico,59500
ANTIK - PRO,Con identidad,@4ndyWS,57800
ANTIK - PRO,Sin identidad,@eldiariodeleuco,57800
ANTIK - PRO,Con identidad,@fran_casaretto_,52900
ANTIK - PRO,Con identidad,@romeromarcelo63,44600
ANTIK - PRO,Sin identidad,@elsakekita,42800
ANTIK - PRO,Con identidad,@gabruzo,43000
ANTIK - PRO,Con identidad,@arielviano,42000
ANTIK - PRO,Con identidad,@luisrodriguezrm,35000
ANTIK - PRO,Sin identidad,@republica_naok,22400
ANTIK - PRO,Sin identidad,@marcelo_mm2023,21900
ANTIK - PRO,Con identidad,@jofa2010,21200
ANTIK - PRO,Con identidad,@felipelahiteau,20100
ANTIK - PRO,Con identidad,@albertcarp4,17300
ANTIK - PRO,Sin identidad,@iguacel23,14600
ANTIK - PRO,Sin identidad,@eljugenio,14000
ANTIK - PRO,Con identidad,@carliferro,14000
ANTIK - PRO,Sin identidad,@lamacrineta,13200
ANTIK - PRO,Sin identidad,@mardina1965,13100
ANTIK - PRO,Con identidad,@lgalatilaura,7000
ANTIK - PRO,Sin identidad,@GigliottiJavier,7000
ANTIK - PRO,Sin identidad,@dulce_tinita,6000
ANTIK - PRO,Con identidad,@bouzas_cris,4000
ANTIK - PRO,Con identidad,@valensanro,3600
ANTIK - PRO,Sin identidad,@manuvitricida,1300
